"Date","Arima.Forecasting","KNN.Forecasting","NN.Forecasting"
2020-04-27,1277.07,1127.77,1281.17
2020-04-28,1277.85,1121.36,1278.92
2020-04-29,1278.67,1114.35,1263.38
2020-04-30,1279.49,1109.58,1275.18
2020-05-01,1280.31,1105.04,1276.66
2020-05-02,1281.13,1100.88,1277.28
2020-05-03,1281.95,1099.83,1276.07
2020-05-04,1282.77,1099.35,1278.61
2020-05-05,1283.59,1099.86,1278.83
2020-05-06,1284.41,1100.54,1274.45
2020-05-07,1285.23,1105.33,1278.31
2020-05-08,1286.05,1110.88,1278.22
2020-05-09,1286.87,1116.56,1278.72
2020-05-10,1287.69,1124.07,1278.38
2020-05-11,1288.52,1129.95,1279.52
2020-05-12,1289.34,1136.08,1279.92
2020-05-13,1290.17,1140.5,1278.83
2020-05-14,1290.99,1143.7,1280.28
2020-05-15,1291.82,1147.59,1280.26
2020-05-16,1292.64,1150.73,1280.72
2020-05-17,1293.47,1153.16,1280.75
2020-05-18,1294.29,1154.14,1281.36
2020-05-19,1295.12,1155.81,1281.71
2020-05-20,1295.95,1159.03,1281.6
2020-05-21,1296.78,1158.53,1282.29
2020-05-22,1297.6,1160.33,1282.44
2020-05-23,1298.43,1162.06,1282.84
2020-05-24,1299.26,1164.41,1283.04
2020-05-25,1300.09,1165.41,1283.47
2020-05-26,1300.92,1164.23,1283.79
2020-05-27,1301.75,1163.35,1283.99
2020-05-28,1302.59,1161.86,1284.43
2020-05-29,1303.42,1160.08,1284.69
2020-05-30,1304.25,1159.63,1285.05
2020-05-31,1305.08,1156.28,1285.33
2020-06-01,1305.92,1153.51,1285.7
2020-06-02,1306.75,1151.44,1286.03
2020-06-03,1307.58,1149.94,1286.32
2020-06-04,1308.42,1146.71,1286.69
2020-06-05,1309.25,1143.59,1287
2020-06-06,1310.09,1140.7,1287.35
2020-06-07,1310.92,1137.31,1287.67
2020-06-08,1311.76,1133.75,1288.02
2020-06-09,1312.6,1133.35,1288.36
2020-06-10,1313.44,1129.46,1288.69
2020-06-11,1314.27,1128.4,1289.04
2020-06-12,1315.11,1128.93,1289.38
2020-06-13,1315.95,1128.81,1289.73
2020-06-14,1316.79,1130.82,1290.07
2020-06-15,1317.63,1132.63,1290.43
2020-06-16,1318.47,1135.56,1290.77
2020-06-17,1319.31,1137.22,1291.12
2020-06-18,1320.15,1139.14,1291.48
2020-06-19,1321,1138.69,1291.83
2020-06-20,1321.84,1137.42,1292.19
2020-06-21,1322.68,1136.73,1292.55
2020-06-22,1323.52,1134.84,1292.91
2020-06-23,1324.37,1133.78,1293.27
2020-06-24,1325.21,1134.82,1293.64
2020-06-25,1326.06,1133.98,1294.01
2020-06-26,1326.9,1134.36,1294.37
2020-06-27,1327.75,1134.69,1294.74
2020-06-28,1328.59,1135.76,1295.11
2020-06-29,1329.44,1133.85,1295.49
2020-06-30,1330.29,1133.74,1295.86
